,CANTON,EDAD,ES_URBANO,SEXO,ES_DEPENDIENTE,ESTADO_VIVIENDA,E.HACINAMIENTO,ALFABETIZACION,ESCOLARIDAD_PROMEDIO,ASISTENCIA_EDUCACION,FUERZA_DE_TRABAJO,SEGURO,N.EXTRANJERO,C.DISCAPACIDAD,POBLACION_TOTAL,SUPERFICIE,DENSIDAD_POBLACION,VIVIENDAS_INDIVIDUALES_OCUPADAS,PROMEDIO_DE_OCUPANTES,P.JEFAT.FEMENINA,P.JEFAT.COMPARTIDA,VOTO_R1,VOTO_R2,ES_ENTRENAMIENTO,PREDICCION_R1,PREDICCION_R2,PREDICCION_R2_CON_R1
10,TURRIALBA,20,0,0,0,1,0,1,8.3,0,0,0,0,0,69616,1642.7,42,20453,3.4,26.5,8.3,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
11,ALAJUELA,29,1,1,0,0,0,1,9.4,0,0,0,0,0,254886,388.4,656,72031,3.49,28.2,7.6,DE LOS TRABAJADORES,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
12,GOICOECHEA,30,1,1,0,1,0,1,9.5,0,0,0,0,0,115084,31.5,3653,32520,3.53,37.1,7.3,INTEGRACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
13,PARAISO,58,0,1,0,0,0,1,7.0,1,1,0,1,0,57743,411.9,140,14626,3.94,26.0,4.9,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
14,SANTO DOMINGO,22,1,1,0,1,0,1,12.2,0,1,0,0,0,40072,24.8,1613,11496,3.48,30.4,10.1,LIBERACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
15,POCOCI,47,1,0,0,1,1,1,6.6,0,1,0,0,0,125962,2403.5,52,36238,3.46,26.5,6.3,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
16,CARTAGO,38,1,1,0,0,0,1,7.8,0,0,0,0,0,147898,287.8,514,38618,3.8,28.7,6.4,INTEGRACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
17,DESAMPARADOS,21,1,0,0,0,0,1,7.6,0,0,0,0,1,208411,118.3,1762,57355,3.62,34.2,6.9,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
18,TIBAS,41,1,0,0,1,0,1,13.1,0,1,0,0,0,64842,8.1,7956,19160,3.38,40.1,7.6,MOVIMIENTO LIBERTARIO,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
19,CARTAGO,34,1,0,0,1,0,1,8.8,0,1,0,0,0,147898,287.8,514,38618,3.8,28.7,6.4,ACCION CIUDADANA,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
20,HEREDIA,63,1,1,0,1,0,1,9.4,1,1,0,0,0,123616,282.6,437,35216,3.5,34.9,9.2,ACCION CIUDADANA,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
21,SAN CARLOS,37,0,0,0,0,0,1,8.6,0,0,0,1,0,163745,3348.0,49,44966,3.62,24.7,7.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
22,SAN JOSE,39,1,1,0,0,0,1,10.3,1,0,0,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
23,PURISCAL,33,0,0,0,0,0,1,9.2,0,0,0,0,1,33004,553.7,60,9787,3.36,28.2,6.9,LIBERACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
24,TIBAS,26,1,1,0,0,0,1,13.1,0,0,0,0,0,64842,8.1,7956,19160,3.38,40.1,7.6,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
25,TALAMANCA,19,1,0,0,1,0,1,4.9,1,0,0,0,0,30712,2809.9,11,7999,3.83,26.7,5.2,INTEGRACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
26,SAN JOSE,64,1,1,0,1,0,1,11.2,0,1,0,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,RESTAURACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
27,LA CRUZ,25,1,1,0,0,0,1,6.1,1,0,1,0,0,19181,1383.9,14,4732,4.05,27.6,7.3,RESTAURACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
28,SAN CARLOS,58,1,0,0,1,0,1,4.6,0,1,0,0,0,163745,3348.0,49,44966,3.62,24.7,7.6,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
29,ESPARZA,39,1,1,0,1,0,1,10.2,1,1,0,0,0,28644,216.8,132,8435,3.39,26.6,8.1,LIBERACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
30,CURRIDABAT,29,1,1,0,0,0,1,13.3,0,0,0,0,0,65206,15.9,4088,19146,3.4,35.2,8.5,MOVIMIENTO LIBERTARIO,ACCION CIUDADANA,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
31,PUNTARENAS,22,1,1,0,0,0,1,9.3,0,0,1,0,0,115019,1842.3,62,33228,3.44,29.9,4.8,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
32,EL GUARCO,38,1,1,0,1,0,1,8.2,0,0,0,0,0,41793,167.7,249,10831,3.83,23.7,7.3,INTEGRACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
33,SAN RAMON,42,1,1,0,1,0,1,9.0,0,0,0,0,0,80566,1018.6,79,23301,3.44,28.4,8.3,ACCION CIUDADANA,ACCION CIUDADANA,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
34,SANTA ANA,25,1,0,0,1,0,1,13.2,0,1,0,0,0,49123,61.4,800,14235,3.43,29.8,10.2,LIBERACION NACIONAL,ACCION CIUDADANA,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
35,PALMARES,52,1,1,0,0,0,1,9.2,0,1,1,0,0,34716,38.1,912,9657,3.58,27.6,9.5,LIBERACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
36,BELEN,47,1,1,0,1,0,1,11.2,0,1,0,1,0,21633,12.1,1780,6011,3.59,28.6,10.6,NUEVA GENERACION,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
37,DESAMPARADOS,63,1,1,0,1,0,1,5.7,0,0,0,0,0,208411,118.3,1762,57355,3.62,34.2,6.9,INTEGRACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
38,GRECIA,63,1,1,0,1,0,1,4.6,0,0,0,0,0,76898,395.7,194,21709,3.53,24.0,7.0,ACCION CIUDADANA,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
39,ALAJUELA,24,1,0,0,0,0,1,11.4,1,0,1,0,0,254886,388.4,656,72031,3.49,28.2,7.6,INTEGRACION NACIONAL,RESTAURACION NACIONAL,0,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
40,OREAMUNO,33,1,0,0,0,0,1,6.8,0,0,0,0,0,45473,201.3,226,11232,4.04,26.0,7.2,LIBERACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
41,ALAJUELA,31,1,0,0,0,0,1,10.4,0,0,0,0,0,254886,388.4,656,72031,3.49,28.2,7.6,LIBERACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
42,SAN JOSE,62,1,1,0,1,0,1,11.2,0,0,0,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,RESTAURACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
43,TIBAS,36,1,1,0,0,0,1,11.1,0,1,0,0,0,64842,8.1,7956,19160,3.38,40.1,7.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
44,SANTA BARBARA,20,1,0,0,1,0,1,11.6,1,0,0,0,0,36243,53.2,681,10107,3.58,24.6,8.0,INTEGRACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
45,CURRIDABAT,58,1,1,0,1,0,1,11.4,0,0,1,0,0,65206,15.9,4088,19146,3.4,35.2,8.5,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
46,SANTA BARBARA,39,1,1,0,1,0,1,10.6,0,0,0,0,0,36243,53.2,681,10107,3.58,24.6,8.0,ACCION CIUDADANA,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
47,SANTO DOMINGO,40,1,0,0,1,0,1,9.2,0,0,1,0,0,40072,24.8,1613,11496,3.48,30.4,10.1,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
48,DESAMPARADOS,48,1,0,0,0,0,1,7.6,0,1,0,1,0,208411,118.3,1762,57355,3.62,34.2,6.9,RESTAURACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
49,SAN RAFAEL,55,1,1,0,1,0,1,10.3,0,1,0,0,0,45965,48.4,950,12957,3.54,30.5,10.3,ACCION CIUDADANA,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
50,GOICOECHEA,38,1,0,0,1,0,1,10.5,0,1,1,0,0,115084,31.5,3653,32520,3.53,37.1,7.3,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
51,LA UNION,51,1,1,0,1,0,1,10.0,1,0,0,0,0,99399,44.8,2217,26979,3.67,31.5,8.4,LIBERACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
52,POCOCI,64,1,1,0,1,0,1,5.4,0,0,0,0,1,125962,2403.5,52,36238,3.46,26.5,6.3,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
53,ALAJUELA,23,1,0,0,1,1,1,8.4,1,0,0,0,0,254886,388.4,656,72031,3.49,28.2,7.6,ACCION CIUDADANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
54,ALAJUELITA,61,1,1,0,1,0,1,6.6,0,0,0,0,0,77603,21.2,3666,19832,3.91,36.3,5.8,NULO,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
55,BARVA,42,1,1,0,1,0,1,12.9,0,1,0,0,0,40660,53.8,756,11291,3.59,27.4,9.5,FRENTE AMPLIO,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
56,SAN CARLOS,60,0,0,0,0,0,1,6.6,0,0,0,0,0,163745,3348.0,49,44966,3.62,24.7,7.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
57,SANTA CRUZ,41,0,1,0,0,0,1,11.5,0,1,0,0,0,55104,1312.3,42,16645,3.31,31.7,4.9,ACCION CIUDADANA,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
58,SANTA CRUZ,50,1,1,0,1,0,1,9.4,0,1,1,0,0,55104,1312.3,42,16645,3.31,31.7,4.9,INTEGRACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
59,CARTAGO,43,1,0,0,1,0,1,10.8,1,0,0,0,0,147898,287.8,514,38618,3.8,28.7,6.4,RESTAURACION NACIONAL,ACCION CIUDADANA,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
60,ALAJUELITA,36,1,0,0,1,0,1,8.7,0,1,1,0,0,77603,21.2,3666,19832,3.91,36.3,5.8,ACCION CIUDADANA,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
61,ALVARADO,21,0,1,0,1,0,1,6.3,0,1,0,0,1,14312,81.1,177,3612,3.95,19.5,8.8,INTEGRACION NACIONAL,ACCION CIUDADANA,0,NUEVA GENERACION,RESTAURACION NACIONAL,ACCION CIUDADANA
62,SAN JOSE,19,1,0,0,1,0,1,11.3,1,1,0,1,1,288054,44.6,6456,81903,3.5,39.6,6.9,LIBERACION NACIONAL,ACCION CIUDADANA,0,INTEGRACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
63,FLORES,22,1,1,0,1,0,1,11.5,1,0,0,0,0,20037,7.0,2879,5751,3.48,28.5,11.2,ACCION CIUDADANA,ACCION CIUDADANA,0,ALIANZA DEMOCRATA CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
64,POCOCI,56,0,0,0,1,0,1,5.4,0,0,1,0,0,125962,2403.5,52,36238,3.46,26.5,6.3,ACCION CIUDADANA,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
65,PARAISO,27,0,1,0,1,1,1,8.3,0,0,0,0,0,57743,411.9,140,14626,3.94,26.0,4.9,INTEGRACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
66,MONTES DE OCA,43,1,1,0,1,0,1,14.9,0,1,0,0,0,49132,15.2,3241,16589,2.94,40.4,9.9,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
67,VAZQUEZ DE CORONADO,62,1,0,0,0,0,1,8.4,1,1,0,0,0,60486,222.2,272,17155,3.52,31.3,8.1,NUEVA GENERACION,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
68,BAGACES,56,1,1,0,0,0,0,5.4,0,0,0,0,0,19536,1273.5,15,5615,3.48,26.8,5.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
69,SAN RAFAEL,52,1,0,0,1,0,1,9.3,0,0,0,0,0,45965,48.4,950,12957,3.54,30.5,10.3,LIBERACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
70,TILARAN,30,1,0,0,1,0,1,9.3,1,0,0,1,0,19640,638.4,31,6018,3.26,24.8,9.5,ACCION CIUDADANA,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
71,CANHAS,33,1,1,0,1,0,1,10.3,0,0,0,0,0,26201,682.2,38,7172,3.65,28.8,6.0,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
72,ALAJUELITA,20,1,1,0,1,0,1,6.7,1,0,0,0,1,77603,21.2,3666,19832,3.91,36.3,5.8,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
73,ESCAZU,33,1,0,0,1,0,1,11.4,0,0,0,1,0,56509,34.5,1638,16565,3.4,32.5,8.7,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
74,LOS CHILES,52,0,0,0,1,0,1,2.1,0,1,0,0,0,23735,1358.9,17,6035,3.93,22.5,8.0,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
75,SAN JOSE,26,1,0,0,0,0,1,10.3,0,0,1,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,INTEGRACION NACIONAL,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
76,CARTAGO,37,1,1,0,1,0,1,9.8,0,1,1,0,0,147898,287.8,514,38618,3.8,28.7,6.4,ACCION CIUDADANA,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
77,ALAJUELA,47,1,1,0,1,0,1,11.4,0,1,1,0,0,254886,388.4,656,72031,3.49,28.2,7.6,RESTAURACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
78,LIBERIA,51,1,1,0,1,1,1,5.5,0,0,1,0,0,62987,1436.5,44,16577,3.75,33.1,7.5,LIBERACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
79,BARVA,25,1,0,0,0,0,1,9.9,0,1,0,0,0,40660,53.8,756,11291,3.59,27.4,9.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
80,PUNTARENAS,49,1,0,0,0,0,0,9.3,0,0,0,0,0,115019,1842.3,62,33228,3.44,29.9,4.8,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
81,SAN RAFAEL,35,1,0,0,1,0,1,10.6,0,0,0,0,0,45965,48.4,950,12957,3.54,30.5,10.3,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
82,DESAMPARADOS,23,1,1,0,1,0,1,10.6,1,0,1,0,0,208411,118.3,1762,57355,3.62,34.2,6.9,NULO,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
83,LA UNION,33,1,0,0,1,0,1,11.2,0,0,0,0,0,99399,44.8,2217,26979,3.67,31.5,8.4,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
84,PEREZ ZELEDON,38,1,0,0,1,0,1,8.1,0,0,0,0,0,134534,1905.5,71,38508,3.48,29.3,7.8,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
85,DESAMPARADOS,62,1,0,0,1,0,1,5.7,0,0,0,0,0,208411,118.3,1762,57355,3.62,34.2,6.9,ACCION CIUDADANA,ACCION CIUDADANA,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
86,SAN CARLOS,57,1,0,0,1,0,1,4.6,0,0,0,0,1,163745,3348.0,49,44966,3.62,24.7,7.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
87,CURRIDABAT,38,1,1,0,1,0,1,9.3,0,1,1,0,0,65206,15.9,4088,19146,3.4,35.2,8.5,ACCION CIUDADANA,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
88,SAN JOSE,19,1,0,0,0,0,1,10.3,1,0,0,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,INTEGRACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
89,SANTA CRUZ,58,0,0,0,0,0,1,8.4,0,0,0,0,0,55104,1312.3,42,16645,3.31,31.7,4.9,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
90,SANTA BARBARA,63,1,1,0,1,0,1,6.2,1,1,0,0,0,36243,53.2,681,10107,3.58,24.6,8.0,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
91,SAN PABLO,41,1,1,0,1,0,1,14.0,0,0,0,0,0,27671,7.5,3675,8006,3.44,32.5,11.3,ACCION CIUDADANA,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
92,BUENOS AIRES,43,0,0,0,0,0,1,7.7,0,0,0,0,0,45244,2384.2,19,12205,3.7,25.3,6.7,LIBERACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
93,HEREDIA,25,1,0,0,1,0,1,12.2,0,0,0,0,0,123616,282.6,437,35216,3.5,34.9,9.2,RESTAURACION NACIONAL,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
94,NARANJO,59,1,1,0,1,0,1,7.1,0,0,0,0,0,42713,126.6,337,11678,3.65,26.4,7.2,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
95,ESPARZA,33,1,1,0,1,0,0,9.2,0,0,1,0,0,28644,216.8,132,8435,3.39,26.6,8.1,LIBERACION NACIONAL,ACCION CIUDADANA,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
96,BUENOS AIRES,30,0,1,0,1,0,1,7.7,0,1,1,0,0,45244,2384.2,19,12205,3.7,25.3,6.7,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
97,SAN JOSE,55,1,1,0,0,0,1,7.2,0,1,0,1,0,288054,44.6,6456,81903,3.5,39.6,6.9,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,0,MOVIMIENTO LIBERTARIO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
98,CORREDORES,24,0,1,0,0,0,1,10.2,0,0,0,0,0,41831,620.6,67,11849,3.52,28.3,6.1,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
99,ASERRI,46,1,0,0,1,0,1,10.7,0,1,0,0,0,57892,167.1,346,16120,3.59,30.0,5.8,RENOVACION COSTARRICENSE,RESTAURACION NACIONAL,0,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
100,DESAMPARADOS,20,1,1,0,1,0,1,11.6,1,0,1,0,0,208411,118.3,1762,57355,3.62,34.2,6.9,LIBERACION NACIONAL,ACCION CIUDADANA,1,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
